ride_id,rideable_type,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,year,start_time,end_time,date,month
1C55B0E4579376F0,classic_bike,South St & Whitehall St,4846.01,Cliff St & Fulton St,5065.14,40.70122128,-74.01234218,40.70838,-74.00495,member,2023,07:59:51.47,08:05:51.92,2023-01-20,1
13488820305BC8EB,electric_bike,St Nicholas Ave & Manhattan Ave,7723.01,W 113 St & Broadway,7713.01,40.809725,-73.953149,40.805973,-73.964928,member,2023,17:37:40.46,17:47:07.41,2023-01-13,1
613752AF0FE8A27E,electric_bike,St Nicholas Ave & Manhattan Ave,7723.01,W 113 St & Broadway,7713.01,40.809725,-73.953149,40.805973,-73.964928,member,2023,16:15:44.93,16:24:27.45,2023-01-09,1
F810155FD4BF6AEC,electric_bike,St Nicholas Ave & Manhattan Ave,7723.01,W 113 St & Broadway,7713.01,40.809709668,-73.953152537,40.805973,-73.964928,member,2023,18:20:30.15,18:27:09.07,2023-01-12,1
AEB0921D889A58C6,classic_bike,6 Ave & W 33 St,6364.07,2 Ave & E 31 St,6197.02,40.74901271,-73.98848395,40.74290902,-73.97706058,member,2023,18:25:23.70,18:33:45.18,2023-01-05,1
3AD0AF30A6C2AE3E,electric_bike,Lispenard St & Broadway,5391.06,Cliff St & Fulton St,5065.14,40.71939226,-74.00247214,40.70838,-74.00495,member,2023,20:14:41.26,20:19:51.52,2023-01-21,1
7E8F50636EF02194,electric_bike,W 70 St & Amsterdam Ave,7207.08,West End Ave & W 78 St,7340.07,40.77748046,-73.98288594,40.783786,-73.981687,member,2023,22:25:23.44,22:28:42.27,2023-01-09,1
F3C5427110148A69,electric_bike,W 70 St & Amsterdam Ave,7207.08,West End Ave & W 78 St,7340.07,40.77748704,-73.982787371,40.783786,-73.981687,member,2023,14:23:46.19,14:28:29.46,2023-01-16,1
5194D4A48989CE98,classic_bike,Myrtle Ave & St Edwards St,4659.02,Kent Ave & N 7 St,5489.03,40.69327018,-73.97703874,40.72036775298455,-73.96165072917938,member,2023,13:44:29.50,14:02:44.81,2023-01-26,1
C625210F4F761446,electric_bike,W 70 St & Amsterdam Ave,7207.08,E 47 St & Park Ave,6584.12,40.777444482,-73.98279357,40.75510267,-73.97498696,member,2023,07:11:19.50,07:20:24.49,2023-01-12,1
8152B4ADA09B3B30,classic_bike,W 70 St & Amsterdam Ave,7207.08,E 47 St & Park Ave,6584.12,40.77748046,-73.98288594,40.75510267,-73.97498696,member,2023,07:09:01.03,07:22:41.13,2023-01-25,1
ECA5FE3D9467417F,classic_bike,E 82 St & East End Ave,7049.04,E 27 St & 1 Ave,6004.06,40.7724607,-73.9468208,40.739445,-73.976806,member,2023,08:15:13.67,08:39:47.83,2023-01-06,1
